Id,Vykazovane_zjisteno_mvcr,Vykazovane_objasneno_mvcr,FK_Crime_Lookup,FK_Area_Lookup,FK_Time_Range,Vykazovane_zjisteno_mesic,Vykazovane_objasneno_mesic,FK_District_Lookup
623,228,154,7,11,1,228,154,0
624,193,122,7,12,1,193,122,0
625,186,122,7,13,1,186,122,0
626,316,223,7,14,1,316,223,0
627,178,167,7,15,1,178,167,0
628,57,43,7,0,1,57,43,1
629,90,65,7,0,1,90,65,2
630,88,84,7,0,1,88,84,3
631,142,115,7,0,1,142,115,4
632,0,0,7,0,1,0,0,5
633,36,27,7,0,1,36,27,6
634,42,36,7,0,1,42,36,7
635,75,36,7,0,1,75,36,8
636,42,29,7,0,1,42,29,9
637,30,25,7,0,1,30,25,10
638,67,58,7,0,1,67,58,11
639,40,39,7,0,1,40,39,12
640,35,22,7,0,1,35,22,13
641,53,38,7,0,1,53,38,14
642,18,8,7,0,1,18,8,15
643,46,27,7,0,1,46,27,16
644,36,15,7,0,1,36,15,17
645,30,15,7,0,1,30,15,18
646,65,53,7,0,1,65,53,19
647,30,20,7,0,1,30,20,20
648,36,25,7,0,1,36,25,21
649,23,12,7,0,1,23,12,22
650,23,20,7,0,1,23,20,23
651,15,11,7,0,1,15,11,24
652,32,21,7,0,1,32,21,25
653,37,32,7,0,1,37,32,26
654,38,35,7,0,1,38,35,27
655,75,55,7,0,1,75,55,28
656,25,18,7,0,1,25,18,29
657,28,22,7,0,1,28,22,30
658,14,12,7,0,1,14,12,31
659,38,30,7,0,1,38,30,32
660,88,82,7,0,1,88,82,33
661,112,94,7,0,1,112,94,34
662,90,85,7,0,1,90,85,35
663,56,40,7,0,1,56,40,36
664,97,72,7,0,1,97,72,37
665,108,86,7,0,1,108,86,38
666,93,67,7,0,1,93,67,39
667,38,32,7,0,1,38,32,40
668,40,25,7,0,1,40,25,41
669,47,44,7,0,1,47,44,42
670,40,31,7,0,1,40,31,43
671,75,60,7,0,1,75,60,44
672,0,0,7,0,1,0,0,45
673,178,109,7,0,1,178,109,46
674,70,40,7,0,1,70,40,47
675,28,18,7,0,1,28,18,48
676,40,27,7,0,1,40,27,49
677,47,30,7,0,1,47,30,50
678,67,51,7,0,1,67,51,51
679,0,0,7,0,1,0,0,52
680,0,0,7,0,1,0,0,53
681,48,27,7,0,1,48,27,54
682,64,38,7,0,1,64,38,55
683,152,77,7,0,1,152,77,56
684,62,41,7,0,1,62,41,57
685,49,36,7,0,1,49,36,58
686,168,119,7,0,1,168,119,59
687,0,0,7,0,1,0,0,60
688,124,68,7,0,1,124,68,61
689,43,31,7,0,1,43,31,62
690,41,24,7,0,1,41,24,63
691,12,8,7,0,1,12,8,64
692,36,17,7,0,1,36,17,65
693,59,41,7,0,1,59,41,66
694,41,20,7,0,1,41,20,67
695,63,48,7,0,1,63,48,68
696,65,45,7,0,1,65,45,69
697,76,44,7,0,1,76,44,70
698,40,22,7,0,1,40,22,71
699,30,19,7,0,1,30,19,72
700,19,19,7,0,1,19,19,73
701,28,18,7,0,1,28,18,74
702,43,24,7,0,1,43,24,75
703,70,55,7,0,1,70,55,76
704,26,15,7,0,1,26,15,77
705,47,28,7,0,1,47,28,78
706,0,0,7,0,1,0,0,79
707,75,65,7,0,1,75,65,80
708,61,38,7,0,1,61,38,81
709,132,89,7,0,1,132,89,82
710,48,31,7,0,1,48,31,83
711,47,47,7,0,1,47,47,84
712,56,47,7,0,1,56,47,85
713,75,73,7,0,1,75,73,86
714,0,0,7,0,1,0,0,87
715,3366,1069,8,1,1,3366,1069,0
716,504,152,8,2,1,504,152,0
717,271,48,8,3,1,271,48,0
718,185,52,8,4,1,185,52,0
719,152,74,8,5,1,152,74,0
720,416,247,8,6,1,416,247,0
721,165,34,8,7,1,165,34,0
722,418,116,8,8,1,418,116,0
723,382,69,8,9,1,382,69,0
724,181,33,8,10,1,181,33,0
725,125,16,8,11,1,125,16,0
726,97,28,8,12,1,97,28,0
727,136,21,8,13,1,136,21,0
728,201,93,8,14,1,201,93,0
